ensgene,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000005958,1141 ,899 ,829 ,557 ,544 ,490 
ENSMUSG00000022684,921 ,727 ,628 ,465 ,389 ,390 
ENSMUSG00000071252,912 ,603 ,679 ,1385 ,1330 ,1224 
ENSMUSG00000021186,100 ,85 ,68 ,258 ,309 ,245 
ENSMUSG00000001131,1429 ,1157 ,995 ,2038 ,1999 ,1868 
ENSMUSG00000104329,170 ,127 ,130 ,388 ,328 ,303 
ENSMUSG00000026249,1421 ,1102 ,1058 ,2119 ,2331 ,2026 
ENSMUSG00000039456,6284 ,5037 ,4581 ,3945 ,3502 ,3593 
ENSMUSG00000044626,1758 ,1365 ,1239 ,887 ,500 ,683 
ENSMUSG00000031434,530 ,430 ,383 ,216 ,211 ,180 
ENSMUSG00000098557,275 ,216 ,192 ,504 ,571 ,500 
ENSMUSG00000011263,688 ,498 ,487 ,234 ,89 ,168 
ENSMUSG00000038807,921 ,631 ,591 ,1289 ,1191 ,1162 
ENSMUSG00000105270,147 ,101 ,118 ,331 ,289 ,307 
ENSMUSG00000046516,1038 ,767 ,770 ,520 ,478 ,426 
ENSMUSG00000028703,914 ,784 ,720 ,1449 ,1234 ,1256 
ENSMUSG00000027799,685 ,553 ,454 ,1057 ,913 ,953 
ENSMUSG00000066007,4633 ,3568 ,3329 ,2299 ,2396 ,2230 
ENSMUSG00000022867,1209 ,920 ,794 ,648 ,488 ,510 
ENSMUSG00000028211,4874 ,3884 ,3543 ,6373 ,6196 ,5900 
ENSMUSG00000022538,4492 ,3404 ,3095 ,2845 ,2195 ,2402 
ENSMUSG00000006134,5119 ,4030 ,3645 ,2817 ,2750 ,2660 
ENSMUSG00000036030,697 ,549 ,494 ,1293 ,878 ,1009 
ENSMUSG00000056457,125 ,88 ,101 ,305 ,435 ,316 
ENSMUSG00000030494,1153 ,845 ,854 ,633 ,427 ,481 
ENSMUSG00000022898,1435 ,1138 ,1032 ,823 ,710 ,689 
ENSMUSG00000032085,2327 ,1820 ,1709 ,3318 ,3535 ,3046 
ENSMUSG00000022797,15050 ,11957 ,10901 ,8165 ,8326 ,7426 
ENSMUSG00000097789,234 ,186 ,160 ,464 ,561 ,434 
ENSMUSG00000024063,950 ,723 ,681 ,1393 ,1511 ,1360 
